# SYNTHETIC DATA - WORKSHOP USE ONLY. Fictional company, products, experts
# and institutions. Contains deliberately seeded adverse events, a product
# quality complaint and an off-label use. Not real data.
record_id,date,msl,contact_id,setting,country,channel,observation
OBS-001,2026-05-25,MSL-07,HCP-117,Community,JP,Phone,Says EASI underestimates severity in her patients with darker skin and she does not trust the trial numbers as a result.
OBS-002,2026-06-08,MSL-03,HCP-129,Community,US,Phone,Asked whether the trials reported outcomes by Fitzpatrick skin type. Said the answer 'not pre-specified' is inadequate.
OBS-003,2026-05-23,MSL-04,HCP-139,Regional centre,UK,Face-to-face,Reports that patients prioritise itch relief over clearance and the trials led on EASI.
OBS-004,2026-04-26,MSL-04,HCP-121,Community,US,Congress,"Says the every-4-week dosing is a genuine advantage over the JAK inhibitors' daily oral, for adherence."
OBS-005,2026-04-14,MSL-06,HCP-118,Community,US,Virtual,Two patients developed conjunctivitis severe enough to need ophthalmology referral.
OBS-006,2026-04-14,MSL-02,HCP-101,Academic,US,Face-to-face,A patient reported a severe injection site reaction with swelling extending beyond the injection area; treated with antihistamines.
OBS-007,2026-04-07,MSL-05,HCP-101,Academic,US,Phone,Thinks the JAK boxed warning is over-weighted by prescribers relative to the actual event rates.
OBS-008,2026-06-23,MSL-05,HCP-110,Academic,UK,Virtual,Asked directly for a head-to-head against the JAK inhibitor. Said 'that is the comparison I make every clinic'.
OBS-009,2026-05-23,MSL-05,HCP-133,Academic,ES,Congress,Says patients ask about the speed of itch relief and the JAK is faster.
OBS-010,2026-06-22,MSL-07,HCP-117,Community,JP,Phone,"Reports a patient who became pregnant on treatment; treatment was stopped, asked what data exist."
OBS-011,2026-05-01,MSL-02,HCP-123,Academic,IT,Congress,Says the formulary threshold in her region is stricter than the label and that is what determines who gets treated.
OBS-012,2026-06-15,MSL-04,HCP-130,Community,JP,Face-to-face,Notes that adolescents drop off treatment more than adults and nobody has studied why.
OBS-013,2026-04-17,MSL-03,HCP-116,Regional centre,US,Face-to-face,Asked whether there is any signal on asthma outcomes in patients with both conditions.
OBS-014,2026-05-24,MSL-06,HCP-137,Regional centre,ES,Face-to-face,Reports a patient hospitalised with eczema herpeticum eight weeks after starting; unclear relationship.
OBS-015,2026-05-27,MSL-02,HCP-115,Academic,JP,Congress,Says the pre-filled pen is difficult for patients with hand eczema to operate.
OBS-016,2026-05-28,MSL-01,HCP-132,Academic,JP,Face-to-face,Two of the pens in a recent batch leaked on injection; patients unsure whether they got the full dose.
OBS-017,2026-04-13,MSL-07,HCP-133,Academic,ES,Face-to-face,Thinks the 52-week extension data is not long enough for a chronic disease people take lifelong.
OBS-018,2026-06-21,MSL-01,HCP-120,Academic,US,Face-to-face,"Reports using it in a patient with concurrent severe asthma already on a biologic; both continued, no issues so far."
OBS-019,2026-06-13,MSL-05,HCP-133,Academic,ES,Face-to-face,Says the competitor's field team have been running better educational meetings.
OBS-020,2026-04-13,MSL-03,HCP-125,Academic,IT,Face-to-face,Asked whether early itch response predicts who will still be responding at a year.
OBS-021,2026-05-02,MSL-07,HCP-136,Regional centre,UK,Virtual,Reports one patient whose disease flared badly on stopping and asks whether there is rebound.
OBS-022,2026-06-01,MSL-06,HCP-138,Regional centre,US,Congress,Says the trials excluded exactly the patients she struggles with — those with prior biologic failure.
OBS-023,2026-05-23,MSL-04,HCP-132,Academic,JP,Congress,Notes that GP referral thresholds vary enormously and many patients arrive far too late.
OBS-024,2026-06-12,MSL-01,HCP-133,Academic,ES,Face-to-face,Asked whether we have any data in patients who failed a JAK inhibitor.
OBS-025,2026-04-27,MSL-05,HCP-121,Community,US,Virtual,Says the conjunctivitis rate in practice feels higher than the label but she has not counted.
OBS-026,2026-05-24,MSL-06,HCP-104,Academic,IT,Face-to-face,Reports a patient who stopped responding after seven months with no clear explanation.
OBS-027,2026-05-01,MSL-02,HCP-116,Regional centre,US,Phone,Thinks the whole field over-measures clearance and under-measures sleep.
OBS-028,2026-04-04,MSL-05,HCP-120,Academic,US,Virtual,"Says her nurses find the injection training straightforward, which is not true of the competitor device."
OBS-029,2026-06-06,MSL-03,HCP-113,Academic,IT,Face-to-face,Asked whether the adolescent data are strong enough to justify use at 12 rather than 16.
OBS-030,2026-04-26,MSL-06,HCP-140,Academic,UK,Phone,Reports that a patient used it every two weeks instead of four having misunderstood the schedule; no adverse effects.
OBS-031,2026-05-04,MSL-07,HCP-129,Community,US,Virtual,"Says the biggest practical barrier is the wait for funding approval, not the clinical decision."
OBS-032,2026-05-02,MSL-07,HCP-129,Community,US,Face-to-face,Notes that patients in her clinic with skin of colour are under-represented in every dataset she has seen.
OBS-033,2026-05-03,MSL-06,HCP-101,Academic,US,Virtual,Asked whether there is any biomarker to predict response.
OBS-034,2026-05-22,MSL-03,HCP-111,Community,ES,Face-to-face,Reports a cluster of three patients with worsening after an initial good response at around month five.
OBS-035,2026-06-17,MSL-03,HCP-117,Community,JP,Face-to-face,Says the itch NRS is the outcome patients actually care about and it is buried as a secondary.
OBS-036,2026-06-25,MSL-02,HCP-125,Academic,IT,Virtual,Thinks the competitor's positioning on itch is effective even though their EASI data are weaker.
OBS-037,2026-05-16,MSL-06,HCP-109,Community,ES,Virtual,"Asked what happens to patients who fail this — 'what's next, and is there anything?'"
OBS-038,2026-04-07,MSL-02,HCP-132,Academic,JP,Face-to-face,Reports that the storage requirements are a problem for patients without reliable refrigeration.
OBS-039,2026-05-25,MSL-03,HCP-117,Community,JP,Face-to-face,Says adherence in adolescents is the single biggest determinant of outcome in her practice.
OBS-040,2026-06-22,MSL-03,HCP-113,Academic,IT,Face-to-face,Notes she has stopped using the competitor's IL-31 agent because the EASI response was disappointing.
OBS-041,2026-05-22,MSL-04,HCP-131,Community,US,Virtual,Asked whether we would support an investigator-initiated study on airway outcomes.
OBS-042,2026-04-18,MSL-02,HCP-135,Academic,FR,Phone,"Reports a patient with a herpes zoster reactivation; recovered, unclear attribution."
OBS-043,2026-05-10,MSL-04,HCP-134,Academic,US,Face-to-face,Says guideline positioning is what will determine uptake and the guidelines lag by two years.
OBS-044,2026-04-06,MSL-03,HCP-113,Academic,IT,Congress,Thinks combination with topical therapy is under-studied and everyone does it anyway.
OBS-045,2026-05-01,MSL-05,HCP-134,Academic,US,Face-to-face,Reports two patients who describe the injection as considerably more painful than their previous biologic.
OBS-046,2026-06-23,MSL-07,HCP-114,Community,DE,Congress,Says the trial population's mean baseline EASI was higher than most of her clinic.
