# SYNTHETIC DATA - WORKSHOP USE ONLY. Entirely fictional.
source_id,study,design,population_n,endpoint,result,role,evidence_tier,limitation
EV-01,NVB-330 / NVB-331,"two identical randomised, double-blind, placebo-controlled phase 3 trials",1204,EASI-75 at week 16,"68.2% vs 24.1% placebo (difference 44.1 pp, 95% CI 38.6–49.6)",co-primary,synthetic pivotal report,See protocol and SAP; not independently verified
EV-02,NVB-330 / NVB-331,"two identical randomised, double-blind, placebo-controlled phase 3 trials",1204,IGA 0/1 at week 16,47.9% vs 12.3% placebo,co-primary,synthetic pivotal report,See protocol and SAP; not independently verified
EV-03,NVB-330 / NVB-331,"two identical randomised, double-blind, placebo-controlled phase 3 trials",1204,Peak Pruritus NRS ≥4-point improvement,61.4% vs 19.8% placebo,"key secondary, alpha-controlled",synthetic pivotal report,See protocol and SAP; not independently verified
EV-04,NVB-330 / NVB-331,"two identical randomised, double-blind, placebo-controlled phase 3 trials",1204,Time to itch improvement,median 3 days,exploratory,synthetic pivotal report,See protocol and SAP; not independently verified
EV-05,NVB-330 / NVB-331,"two identical randomised, double-blind, placebo-controlled phase 3 trials",1204,Maintenance of response to week 52,78% of week-16 responders,open-label extension,synthetic pivotal report,See protocol and SAP; not independently verified
EV-10,NVB-330/331 pooled 52-week analysis,"randomised, n=1204",extract from abstract,reported finding,EASI-75 maintained in 78% of week-16 responders; no new safety signals,context,congress abstract,Methods incomplete; sponsor: Nordvant
EV-11,JAKVERA vs EBRIZUMA head-to-head at week 24,"randomised, n=692",extract from abstract,reported finding,EASI-90 superior for JAK (52% vs 39%); higher herpes zoster rate,context,congress abstract,Methods incomplete; sponsor: Competitor B
EV-12,Real-world persistence with biologics in atopic dermatitis,"retrospective, n=3,140",extract from abstract,reported finding,24-month persistence 61% biologics vs 44% oral JAK,context,congress abstract,Methods incomplete; sponsor: Registry
EV-13,EASI performance across skin types: a multicentre validation,"prospective, n=418",extract from abstract,reported finding,EASI underestimates severity in Fitzpatrick V–VI; erythema scoring the main driver,context,congress abstract,Methods incomplete; sponsor: Academic
EV-14,Adolescent long-term safety pooled analysis,"pooled, n=560",extract from abstract,reported finding,No growth or developmental signals to 3 years,context,congress abstract,Methods incomplete; sponsor: Competitor A
