# SYNTHETIC DATA - fictional training records, not clinical evidence.
interaction_id,hcp_id,therapeutic_area,date,msl,channel,verbatim,source_file,source_record
oncology-mm:OBS-001,oncology-mm:HCP-138,oncology-mm,2026-06-10,MSL-01,Congress,Asked directly what happens at 18 months if a patient is still responding. Said the answer 'we continue' is not evidence-based.,workshop/data/oncology-mm/field-observations.csv,OBS-001
oncology-mm:OBS-002,oncology-mm:HCP-133,oncology-mm,2026-05-24,MSL-02,Phone,Wants the cytogenetic subgroup breakdown. Has asked before. Frustrated it has not come.,workshop/data/oncology-mm/field-observations.csv,OBS-002
oncology-mm:OBS-003,oncology-mm:HCP-137,oncology-mm,2026-06-17,MSL-01,Virtual,Says his centre now does step-up dosing as outpatient with a 24h observation window; no CRS escalations so far in 11 patients.,workshop/data/oncology-mm/field-observations.csv,OBS-003
oncology-mm:OBS-004,oncology-mm:HCP-124,oncology-mm,2026-04-19,MSL-07,Congress,"Two of her patients discontinued because of recurrent infections, not disease progression.",workshop/data/oncology-mm/field-observations.csv,OBS-004
oncology-mm:OBS-005,oncology-mm:HCP-132,oncology-mm,2026-05-01,MSL-06,Face-to-face,"Thinks the infection rate in the label understates what he sees, because trial patients had mandated prophylaxis and his do not.",workshop/data/oncology-mm/field-observations.csv,OBS-005
oncology-mm:OBS-006,oncology-mm:HCP-110,oncology-mm,2026-04-14,MSL-04,Phone,Asked whether we have any data after prior BCMA CAR-T. Said this is now the most common question on his ward round.,workshop/data/oncology-mm/field-observations.csv,OBS-006
oncology-mm:OBS-007,oncology-mm:HCP-137,oncology-mm,2026-05-25,MSL-01,Face-to-face,Community centre says they cannot take these patients at all without an inpatient bed for step-up.,workshop/data/oncology-mm/field-observations.csv,OBS-007
oncology-mm:OBS-008,oncology-mm:HCP-117,oncology-mm,2026-05-13,MSL-07,Face-to-face,Reports that a patient developed grade 3 CRS requiring hospitalisation on day 3 of step-up dosing; recovered after tocilizumab.,workshop/data/oncology-mm/field-observations.csv,OBS-008
oncology-mm:OBS-009,oncology-mm:HCP-119,oncology-mm,2026-06-14,MSL-06,Face-to-face,"Says the weekly dosing schedule is the main reason patients decline, not the toxicity.",workshop/data/oncology-mm/field-observations.csv,OBS-009
oncology-mm:OBS-010,oncology-mm:HCP-106,oncology-mm,2026-05-12,MSL-07,Phone,Raised that the injector pens have been jamming — two of five in the last batch would not deliver the full dose.,workshop/data/oncology-mm/field-observations.csv,OBS-010
oncology-mm:OBS-011,oncology-mm:HCP-112,oncology-mm,2026-05-05,MSL-01,Phone,"Asked about use in a patient with CrCl 24. Said he used it anyway and the patient responded, but he was 'flying blind'.",workshop/data/oncology-mm/field-observations.csv,OBS-011
oncology-mm:OBS-012,oncology-mm:HCP-109,oncology-mm,2026-04-27,MSL-07,Phone,Notes his older patients seem to do worse but he has no numbers.,workshop/data/oncology-mm/field-observations.csv,OBS-012
